Domain;State fluent;Mean (Base);Mean (Fluent);Variance;Range
HVAC;occupied;-112634.45;-254400.03;0.00024414062;141765.58
HVAC;tempheater;-112634.45;-254400.03;0.00024414062;141765.58
HVAC;tempzone;-112634.45;-270523.25;0.0;157888.8
UAV;phi;-1716.6936;-1732.0491;0.0;15.355469
UAV;pos-x;-1716.6936;-1730.9553;1.4901161e-08;14.261719
UAV;pos-y;-1716.6936;-1732.0491;0.0;15.355469
UAV;pos-z;-1716.6936;-1732.0491;0.0;15.355469
UAV;psi;-1716.6936;-1732.0491;0.0;15.355469
UAV;theta;-1716.6936;-1732.0491;0.0;15.355469
UAV;vel;-1716.6936;-1732.0491;0.0;15.355469